ASX LISTED COMPANIES AS AT THU OCT 23 00:01:24 EST 2014
ARISTOCRAT LEISURE LIMITED,ALL.AX,CONSUMER SERVICES
ARK FUND LIMITED (THE),ARJ.AX,REAL ESTATE
ARK MINES LIMITED,AHK.AX,MATERIALS
ARMIDALE INVESTMENT CORPORATION LIMITED,AIK.AX,NOT APPLIC
ARMOUR ENERGY LIMITED,AJQ.AX,ENERGY
AROWANA INTERNATIONAL LIMITED,AWN.AX,CAPITAL GOODS
ARRIUM LIMITED,ARI.AX,MATERIALS
ARTEMIS RESOURCES LIMITED,ARV.AX,MATERIALS
ARTIST & ENTERTAINMENT GROUP LIMITED,AEM.AX,ENERGY
ARUMA RESOURCES LIMITED,AAJ.AX,MATERIALS
ARUNTA RESOURCES LIMITED,AJR.AX,MATERIALS
ASALEO CARE LIMITED,AHY.AX,HOUSEHOLD & PERSONAL PRODUCTS
ASAPLUS RESOURCES LIMITED,AJY.AX,MATERIALS
ASCEND BIOPHARMACEUTICALS LIMITED,ASE.AX,CLASS PEND
ASCIANO LIMITED,AIO.AX,TRANSPORTATION
ASCOT RESOURCES LIMITED,AZQ.AX,MATERIALS
ASF GROUP LIMITED,AFA.AX,DIVERSIFIED FINANCIALS
ASG GROUP LIMITED,ASZ.AX,SOFTWARE & SERVICES
ASHLEY SERVICES GROUP LIMITED,ASH.AX,COMMERCIAL SERVICES & SUPPLIES
ASIA PACIFIC DATA CENTRE GROUP,AJD.AX,REAL ESTATE
ASIA PACIFIC DIGITAL LIMITED,DIG.AX,MEDIA
ASIAN AMERICAN MEDICAL GROUP LIMITED,AJJ.AX,HEALTH CARE EQUIPMENT & SERVICES
ASIAN DEVELOPMENT BANK,ATB.AX,NOT APPLIC
ASIAN MASTERS FUND LIMITED,AUF.AX,DIVERSIFIED FINANCIALS
ASK FUNDING LIMITED,AKF.AX,DIVERSIFIED FINANCIALS
ASPEN GROUP,APZ.AX,REAL ESTATE
ASPERMONT LIMITED.,ASP.AX,MEDIA
ASPIRE MINING LIMITED,AKM.AX,MATERIALS
ASTIVITA LIMITED,AIR.AX,CAPITAL GOODS
ASTRO JAPAN PROPERTY GROUP,AJA.AX,REAL ESTATE
ASTRO RESOURCES NL,ARO.AX,MATERIALS
ASTRON CORPORATION LIMITED,ATR.AX,MATERIALS
ASX LIMITED,ASX.AX,DIVERSIFIED FINANCIALS
ATCOR MEDICAL HOLDINGS LIMITED,ACG.AX,HEALTH CARE EQUIPMENT & SERVICES
ATHENA RESOURCES LIMITED,AHN.AX,MATERIALS
ATLANTIC GOLD CORPORATION,AGB.AX,MATERIALS
ATLANTIC LIMITED,ATI.AX,MATERIALS
ATLAS IRON LIMITED,AGO.AX,MATERIALS
ATLAS PEARLS AND PERFUMES LTD,ATP.AX,CONSUMER DURABLES & APPAREL
ATRUM COAL NL,ATU.AX,MATERIALS
ATTILA RESOURCES LIMITED,AYA.AX,MATERIALS
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA.AX,TRANSPORTATION
AUDALIA RESOURCES LIMITED,ACP.AX,MATERIALS
AUDIO PIXELS HOLDINGS LIMITED,AKP.AX,CONSUMER DURABLES & APPAREL
AUGUR RESOURCES LIMITED,AUK.AX,MATERIALS
AURA ENERGY LIMITED,AEE.AX,ENERGY
AURELIA METALS LIMITED,AMI.AX,MATERIALS
AURIZON HOLDINGS LIMITED,AZJ.AX,TRANSPORTATION
AUROCH MINERALS NL,AOU.AX,MATERIALS
AURORA ABSOLUTE RETURN FUND,ABW.AX,NOT APPLIC
AURORA DIVIDEND INCOME TRUST (MANAGED FUND),AOD.AX,NOT APPLIC
AURORA FUNDS LIMITED,AFV.AX,DIVERSIFIED FINANCIALS
AURORA GLOBAL INCOME TRUST,AIB.AX,DIVERSIFIED FINANCIALS
AURORA MINERALS LIMITED,ARM.AX,MATERIALS
AURORA PROPERTY BUY-WRITE INCOME TRUST,AUP.AX,NOT APPLIC
AUS TIN MINING LTD,ANW.AX,MATERIALS
AUSAMERICAN MINING LIMITED,AIW.AX,MATERIALS
AUSDRILL LIMITED,ASL.AX,CAPITAL GOODS
AUSENCO LIMITED,AAX.AX,CAPITAL GOODS
AUSGOLD LIMITED,AUC.AX,MATERIALS
AUSMANI LIMITED,ABF.AX,MEDIA
AUSMON RESOURCES LIMITED,AOA.AX,MATERIALS
AUSNET SERVICES,AST.AX,UTILITIES
AUSNET SERVICES HOLDINGS PTY LTD,ANV.AX,NOT APPLIC
AUSQUEST LIMITED,AQD.AX,MATERIALS
AUSTAL LIMITED,ASB.AX,CAPITAL GOODS
AUSTBROKERS HOLDINGS LIMITED,AUB.AX,INSURANCE
AUSTEX OIL LIMITED,AOK.AX,ENERGY
AUSTIN ENGINEERING LIMITED,ANG.AX,CAPITAL GOODS
AUSTIN EXPLORATION LIMITED,AKK.AX,ENERGY
AUSTOCK GROUP LIMITED,ACK.AX,INSURANCE
AUSTPAC RESOURCES NL,APG.AX,MATERIALS
AUSTRAL GOLD LIMITED,AGD.AX,MATERIALS
AUSTRALAND ASSETS TRUST,AAZ.AX,REAL ESTATE
AUSTRALAND PROPERTY GROUP,ALZ.AX,REAL ESTATE
AUSTRALASIAN RESOURCES LIMITED,ARH.AX,MATERIALS
AUSTRALASIAN WEALTH INVESTMENTS LIMITED.,AWI.AX,NOT APPLIC
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZ.AX,BANKS
AUSTRALIA CHINA HOLDINGS LIMITED,AAK.AX,REAL ESTATE
AUSTRALIA MINERALS AND MINING GROUP LTD,AKA.AX,MATERIALS
AUSTRALIA NEW AGRIBUSINESS & CHEMICAL GROUP LTD,ANB.AX,MATERIALS
AUSTRALIA UNITED MINING LIMITED,AYM.AX,MATERIALS
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC.AX,FOOD, BEVERAGE & TOBACCO
AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,AAP.AX,FOOD & STAPLES RETAILING
AUSTRALIAN BAUXITE LIMITED.,ABX.AX,MATERIALS
AUSTRALIAN CAREERS NETWORK LIMITED,ACO.AX,CLASS PEND
AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS,XCL.AX,NOT APPLIC
AUSTRALIAN ENHANCED INCOME FUND,AYF.AX,NOT APPLIC
AUSTRALIAN ETHICAL INVESTMENT LIMITED,AEF.AX,DIVERSIFIED FINANCIALS
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI.AX,NOT APPLIC
AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED,AQF.AX,DIVERSIFIED FINANCIALS
AUSTRALIAN GOVERNMENT TREASURY BONDS,GSB.AX,NOT APPLIC
AUSTRALIAN GOVERNMENT TREASURY INDEXED BONDS,GSI.AX,NOT APPLIC
AUSTRALIAN INDUSTRIAL REIT,ANI.AX,REAL ESTATE
AUSTRALIAN LEADERS FUND LIMITED,ALF.AX,DIVERSIFIED FINANCIALS
AUSTRALIAN MASTERS CORPORATE BOND FUND NO 5 LIMITED,AKY.AX,DIVERSIFIED FINANCIALS
AUSTRALIAN MASTERS YIELD FUND NO 1 LIMITED,AYD.AX,NOT APPLIC
AUSTRALIAN MASTERS YIELD FUND NO 2 LIMITED,AYH.AX,NOT APPLIC
AUSTRALIAN MASTERS YIELD FUND NO 3 LIMITED,AYJ.AX,NOT APPLIC
AUSTRALIAN MASTERS YIELD FUND NO 4 LIMITED,AYK.AX,NOT APPLIC
AUSTRALIAN MINES LIMITED,AUZ.AX,MATERIALS
AUSTRALIAN NATURAL PROTEINS LIMITED,AYB.AX,FOOD, BEVERAGE & TOBACCO
AUSTRALIAN OIL COMPANY LIMITED,AOC.AX,ENERGY
AUSTRALIAN PACIFIC COAL LIMITED,AQC.AX,MATERIALS
AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,API.AX,HEALTH CARE EQUIPMENT & SERVICES
AUSTRALIAN RENEWABLE FUELS LIMITED,ARW.AX,ENERGY
AUSTRALIAN RURAL CAPITAL LIMITED,ARC.AX,DIVERSIFIED FINANCIALS
AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,AUI.AX,DIVERSIFIED FINANCIALS
AUSTRALIAN UNITY LIMITED,AYU.AX,NOT APPLIC
AUSTRALIAN VINTAGE LTD,AVG.AX,FOOD, BEVERAGE & TOBACCO
AUSTRALIAN ZIRCON NL,AZC.AX,MATERIALS
AUTHORISED INVESTMENT FUND LIMITED,AIY.AX,NOT APPLIC
AUTOMOTIVE HOLDINGS GROUP LIMITED,AHE.AX,RETAILING
AVALON MINERALS LIMITED,AVI.AX,MATERIALS
AVANCO RESOURCES LIMITED,AVB.AX,MATERIALS
AVEO GROUP,AOG.AX,REAL ESTATE
AVEXA LIMITED,AVX.AX,PHARMACEUTICALS & BIOTECHNOLOGY
AVITA MEDICAL LTD,AVH.AX,PHARMACEUTICALS & BIOTECHNOLOGY
AVJENNINGS LIMITED,AVJ.AX,REAL ESTATE
AVZ MINERALS LIMITED,AVZ.AX,MATERIALS
AWE LIMITED,AWE.AX,ENERGY
AXA,AXJ.AX,NOT APPLIC
AXG MINING LIMITED,AXC.AX,MATERIALS
AXIOM MINING LIMITED,AVQ.AX,MATERIALS
AXIOM PROPERTIES LIMITED,AXI.AX,REAL ESTATE
AZIANA LIMITED,AZK.AX,MATERIALS
AZONTO PETROLEUM LTD,APY.AX,ENERGY
AZUMAH RESOURCES LIMITED,AZM.AX,MATERIALS
AZURE HEALTHCARE LIMITED,AZV.AX,HEALTH CARE EQUIPMENT & SERVICES
AZURE MINERALS LIMITED,AZS.AX,MATERIALS
BAILADOR TECHNOLOGY INVESTMENTS LIMITED,BTI.AX,CLASS PEND
BALAMARA RESOURCES LIMITED,BMB.AX,MATERIALS
BANDANNA ENERGY LIMITED,BND.AX,ENERGY
BANK OF CHINA LIMITED,BKC.AX,NOT APPLIC
BANK OF QUEENSLAND LIMITED.,BOQ.AX,BANKS
BANNERMAN RESOURCES LIMITED,BMN.AX,ENERGY
BARAKA ENERGY & RESOURCES LIMITED,BKP.AX,ENERGY
BARRA RESOURCES LIMITED,BAR.AX,MATERIALS
BARRACK ST INVESTMENTS LIMITED,BST.AX,NOT APPLIC
BASE RESOURCES LIMITED,BSE.AX,MATERIALS
BASPER LTD,BER.AX,AUTOMOBILES & COMPONENTS
BASS METALS LTD,BSM.AX,MATERIALS
BASS STRAIT OIL COMPANY LIMITED,BAS.AX,ENERGY
BASSARI RESOURCES LIMITED,BSR.AX,MATERIALS
BATHURST RESOURCES LIMITED.,BRL.AX,MATERIALS
BAUXITE RESOURCES LIMITED,BAU.AX,MATERIALS
BBX MINERALS LIMITED,BBX.AX,MATERIALS
BC IRON LIMITED,BCI.AX,MATERIALS
BCD RESOURCES NL,BCD.AX,MATERIALS
BEACH ENERGY LIMITED,BPT.AX,ENERGY
BEACON LIGHTING GROUP LIMITED,BLX.AX,RETAILING
BEACON MINERALS LIMITED,BCN.AX,MATERIALS
BEADELL RESOURCES LIMITED,BDR.AX,MATERIALS
BEAUTY HEALTH GROUP LIMITED,BHG.AX,SOFTWARE & SERVICES
BEGA CHEESE LIMITED,BGA.AX,FOOD, BEVERAGE & TOBACCO
BELL FINANCIAL GROUP LIMITED,BFG.AX,DIVERSIFIED FINANCIALS
BELLA TRUST SERIES 2011-1,BNI.AX,NOT APPLIC
BELLA TRUST SERIES 2011-3,BNJ.AX,NOT APPLIC
BELLAMY'S AUSTRALIA LIMITED,BAL.AX,FOOD, BEVERAGE & TOBACCO
BENDIGO AND ADELAIDE BANK LIMITED,BEN.AX,BANKS
BENITEC BIOPHARMA LIMITED,BLT.AX,PHARMACEUTICALS & BIOTECHNOLOGY
BENTHAM IMF LIMITED,IMF.AX,DIVERSIFIED FINANCIALS
BENTLEY CAPITAL LIMITED,BEL.AX,DIVERSIFIED FINANCIALS
BERKELEY RESOURCES LIMITED,BKY.AX,ENERGY
BESRA GOLD INC,BEZ.AX,MATERIALS
BEYOND INTERNATIONAL LIMITED,BYI.AX,MEDIA
BHP BILLITON LIMITED,BHP.AX,MATERIALS
BIGAIR GROUP LIMITED,BGL.AX,TELECOMMUNICATION SERVICES
BILLABONG INTERNATIONAL LIMITED,BBG.AX,CONSUMER DURABLES & APPAREL
BIONOMICS LIMITED,BNO.AX,PHARMACEUTICALS & BIOTECHNOLOGY
BIOPROSPECT LIMITED,BPO.AX,PHARMACEUTICALS & BIOTECHNOLOGY
BIOTECH CAPITAL LIMITED,BTC.AX,DIVERSIFIED FINANCIALS
BIOTRON LIMITED,BIT.AX,PHARMACEUTICALS & BIOTECHNOLOGY
BIOXYNE LIMITED,BXN.AX,PHARMACEUTICALS & BIOTECHNOLOGY
BIRCH AND PRESTIGE INVESTMENT GROUP LIMITED,BOP.AX,RETAILING
BIRIMIAN GOLD LIMITED,BGS.AX,MATERIALS
BIRON APPAREL LIMITED,BIC.AX,RETAILING
BISALLOY STEEL GROUP LIMITED,BIS.AX,MATERIALS
BISAN LIMITED,BSN.AX,DIVERSIFIED FINANCIALS
BKI INVESTMENT COMPANY LIMITED,BKI.AX,DIVERSIFIED FINANCIALS
BKM MANAGEMENT LIMITED,BKM.AX,COMMERCIAL SERVICES & SUPPLIES
BLACK FIRE MINERALS LTD,BFE.AX,MATERIALS
BLACK MOUNTAIN RESOURCES LIMITED,BMZ.AX,MATERIALS
